ID,comentarios
65,publicidad pagar empresa publicidad
22,equipo frente
22,gusto tema nunca niño ganar gracioso interesante ser cosas
19,aprender trabajar equipo
18,pensar impacto solucionar sociedad ayuda cuestionar idea
40,comenzar idea producto poner mesa
39,cosas claro clase ver presentación plataforma
13,hecho tener investigar cerca marketing presupuesto prueba entrada
65,programa generar gran impacto hoy día vez motivar
77,estrategia explicar importancia prototipo
37,conocer programa
16,orientar crear realizar proyecto
26,aprender cosas futuro inteligencia
18,saber vamos crear sociedad
69,hacer interesante
4,gusto actividad grupo generar solucionar problema
40,poder tener oportunidad crear idea negocio utilizar tecnología tecnología experiencia cubrir hoy día hacer
79,excelente explicación profesor
70,clase hoy
26,punto aire
22,poder aclarar profesor debido dispuesto responder frente complejidad proyecto ser nuevo
38,divertido usar ingenio resolver problema
55,divertido tratar pensar alternativa construcción
68,idea hacer grupo
20,gran ayuda
6,explicación entender tema
31,mente mejorar cosas
32,vez nuevo hablar
8,realizar reto
57,manera básico marketing digital tema ahora primordial
55,alguien duda lograr
70,gusto igual preferencia
32,gusto presentación explicación
69,enseñanza idea empresarial m mejorar grande llegar ser mejor q
56,solución vida
68,m bonito
58,solo clase introducción
1,saber si grupo buen trabajo buenas
50,ahora servir futuro
43,bien cosas
21,poder aprender trata programa podre entender momento
33,chico vino
62,práctica tener
3,actividad trabajar equipo divertido
53,conocer ayuda crear cambio bien sociedad
73,manera interacción audiencia
2,gracias entender realizar marketing
7,profesor paciencia
45,verdad gusto
74,tema interesante
17,explicación eduardo dinámica
75,investigar cuenta ser emprendedor si
16,saber encontrar proyecto
17,dar poder comenzar
33,gente mente grupo muestra comunicación participación
35,actividad grupo
50,película atención
72,lado visualizar aclarar manera simple además poder equipo compartir
51,trabajar equipo
22,mena búsqueda participación
78,explicación decir
11,gusto poder grupo poder dar lograr destacar mejor
29,poder encontrar problema buscar
62,momento compartir equipo juntos plantear gran potencial
0,desarrollar proyecto s ayuda base iniciar
22,hacer torre
67,dinámica mejor reflexión
40,compartir conocer mejor
64,trabajar equipo crear servicio producto nuevo
56,crear producto propio imaginario entender mejor idea
28,trabajo equipo ayuda
30,hacer proyecto poder poner parte
40,charla dinámica
63,profesor idea punto vista
61,profesor corregir
28,planteamiento d idea futuro exitoso
52,preparado participar proyecto
43,encontrar idea base solo falta pulir
71,iniciativa crear empresa
78,hacer clase
35,explicación profesor apoyo resolver proyecto
28,profesor saber poder mejorar
6,ampliar toque personal
9,ejemplo personas gracias base idea empresa
65,definición forma entender desarrollar
47,gusto clase hacer aplicación
20,investigar conocer interesante
65,investigar origen simple
26,vida mostrar palabras
39,gusto poder participar manera
38,ejemplo iniciativa
38,explicación idea producto ejecución equipo entender si aspecto lograr manera proyecto
70,gusto grupo
47,subir nivel
21,respecto hacer organización equipo distribuir tiempo trabajo lograr
59,intercambiar llenar conocimiento ampliar pensamiento
76,crear tener idea proyecto
10,super conocer cosas hoy día
15,entender producto idea equipo ejecución
77,compartir equipo bien
65,trabajo mejorar producto existente
73,vida real mejor idea
48,super dinámica forma participar
22,concepto equipo
19,investigar grande
32,entender hoy
54,diseñar producto
27,aprender empresa compañía hacer crecer negocio
72,conocer tan
6,investigar historia
63,participación grupo
50,actividad conocer
44,descubrir metodología buen servir hora crear
49,cosas ayuda entender
65,ligero monotonía
21,gusto ayudar entender mejor concepto
69,si si producto equipo idea
5,parte empresa
67,poder grupo hacer mejor realización empresa
11,gusto importancia muestra hacer llegar traer
32,forma explicar ejecución organización general
12,producto hacer idea
34,tema aprender inicio idea
10,explicación tema
17,poder crear base
78,hablar grupo
10,clase poder equipo decidir servicio realizar solo trabajar equipo
56,gusto clase aclarar
30,gusto clase hoy aprender servir vida
48,cosas servir vida
55,aprender saber seleccionar buen equipo proyecto
50,cosas siempre hablar nunca detalle
21,gusto poder aprender específicamente importancia equipo cuidadosamente seleccionado asegurar éxito empresa
41,fin saber exactamente junto siempre
56,poder ver cosas fantasía ser niño cosas realidad cosas tan aprender ver cosas grande burbuja
16,programa ver importante hacer
79,explicación profesor
62,pensar cuenta momento futuro
27,informativo dinámico
15,encuentro útil
55,perspectiva dar idea realidad llegar futuro
76,dinámica clase mejor comprensión tema
68,hoy clase tema
52,clase haber hacer proyecto
15,producto servicio
37,forma profesional mejorar
35,aprender digital
31,buscar cuenta si llegar esfuerzo
48,contar inicio conocimiento
71,poder descubrir ahora seguir adelante proyecto
0,profesor seguir aprendizaje
24,poder dibujar hacer mejorar idea
67,trabajo equipo
56,ser momento crear producto solucionar gran problema
74,actividad juego
2,hacer producto creativo tema asignado
3,general puntos sesión forma además puntos
77,equipo difícil trabajar grupo buenas
31,gusto interacción tubo profesor
33,actividad clase
26,ser emprendedor nunca palabra
22,trabajo equipo
36,aplicar mundo real
18,clase dinámica
69,parte idea proyecto cuenta producto
25,aprender podre hacer proyecto seguir
34,crear pensar hacer proyecto
39,redactar problema país ver realidad
74,hacer ver
32,gusto bien organizado
57,puta madre si madre
21,oportunidad aprender
69,concepto poder definir bien comenzar empresa
45,aprender cosas
62,preparar elegir grupo trabajo
53,aprender entender claridad objetivo interesante
15,historia comienzo google cuenta gran idea esfuerzo dedicación igual suerte
26,gusto optimismo llegar ser
73,trabajar equipo pensar idea reto
49,producto ejecución bueno tema
26,planificación resolver
36,aprender muestra forma crear empresa ser campo poder ser
13,manera crear idea
3,forma explicación
15,tema habla interesante
72,historia hoy
1,gusto explicación ejecución importante
69,planteamiento proyecto
37,poder resolver proyecto mejor
17,forma bulla cosa entonces escuchar claro profesor
9,gusto lanzar
64,forma dinámica clase
47,gusto tema manera entender mejor ver realidad ejemplo alguien exitoso chico
73,aprender hacer
39,aprender hacer buen
55,gusto clase aprender
64,concentrar vaya base necesidad eficiente ayuda problema mundo defecto
45,idear innovación
67,gusto historia producto hacer idea trabajo equipo importante vital realizar empresa
41,gusto clase poder saber conocer fin proyecto alcanzar finalizar sacar mercado producto
0,explicación profesor
15,entender proyecto empresa
56,lograr éxito
57,saber crear
44,poder tener idea final proyecto
39,ser innovador
69,trabajar equipo dinámico
51,vez clase
43,conocer profundidad manera formar mejor idea negocio producto equipo ejecución idea
73,profesor solo material docente
63,explicación clase clara
14,clase utilizado aprendizaje
48,dinámica comprender fácilmente tema
48,aprender necesario empezar hacer idea apoyo
26,gusto parte social super importante
